"label","n","parent","id"
"Belgium",47,"total -  Mystery","total -  Mystery  -  Belgium"
"Belgium",13,"total -  Reality TV","total -  Reality TV  -  Belgium"
"Belgium",84,"total -  Romance","total -  Romance  -  Belgium"
"Belgium",33,"total -  Sci Fi","total -  Sci Fi  -  Belgium"
"Belgium",13,"total -  Sport","total -  Sport  -  Belgium"
"Belgium",8,"total -  Talk Show","total -  Talk Show  -  Belgium"
"Belgium",59,"total -  Thriller","total -  Thriller  -  Belgium"
"Belgium",4,"total -  War","total -  War  -  Belgium"
"Belgium",6,"total -  Western","total -  Western  -  Belgium"
"Bolivia",158,"total -  Action","total -  Action  -  Bolivia"
"Bolivia",1,"total -  Adult","total -  Adult  -  Bolivia"
"Bolivia",141,"total -  Adventure","total -  Adventure  -  Bolivia"
"Bolivia",97,"total -  Animation","total -  Animation  -  Bolivia"
"Bolivia",1,"total -  Biography","total -  Biography  -  Bolivia"
"Bolivia",221,"total -  Comedy","total -  Comedy  -  Bolivia"
"Bolivia",85,"total -  Crime","total -  Crime  -  Bolivia"
"Bolivia",14,"total -  Documentary","total -  Documentary  -  Bolivia"
"Bolivia",272,"total -  Drama","total -  Drama  -  Bolivia"
"Bolivia",13,"total -  Family","total -  Family  -  Bolivia"
"Bolivia",38,"total -  Fantasy","total -  Fantasy  -  Bolivia"
"Bolivia",2,"total -  Film Noir","total -  Film Noir  -  Bolivia"
"Bolivia",1,"total -  History","total -  History  -  Bolivia"
"Bolivia",29,"total -  Horror","total -  Horror  -  Bolivia"
"Bolivia",21,"total -  Music","total -  Music  -  Bolivia"
"Bolivia",40,"total -  Mystery","total -  Mystery  -  Bolivia"
"Bolivia",3,"total -  Reality TV","total -  Reality TV  -  Bolivia"
"Bolivia",108,"total -  Romance","total -  Romance  -  Bolivia"
"Bolivia",21,"total -  Sci Fi","total -  Sci Fi  -  Bolivia"
"Bolivia",7,"total -  Sport","total -  Sport  -  Bolivia"
"Bolivia",6,"total -  Talk Show","total -  Talk Show  -  Bolivia"
"Bolivia",50,"total -  Thriller","total -  Thriller  -  Bolivia"
"Bolivia",2,"total -  War","total -  War  -  Bolivia"
"Bolivia",2,"total -  Western","total -  Western  -  Bolivia"
"Brazil",162,"total -  Action","total -  Action  -  Brazil"
"Brazil",161,"total -  Adventure","total -  Adventure  -  Brazil"
"Brazil",71,"total -  Animation","total -  Animation  -  Brazil"
"Brazil",6,"total -  Biography","total -  Biography  -  Brazil"
"Brazil",171,"total -  Comedy","total -  Comedy  -  Brazil"
"Brazil",120,"total -  Crime","total -  Crime  -  Brazil"
"Brazil",16,"total -  Documentary","total -  Documentary  -  Brazil"
"Brazil",270,"total -  Drama","total -  Drama  -  Brazil"
