"parents","n","labels","id"
"Costa Rica",102," Adventure","Costa Rica  -   Adventure"
"Costa Rica",60," Animation","Costa Rica  -   Animation"
"Costa Rica",4," Biography","Costa Rica  -   Biography"
"Costa Rica",202," Comedy","Costa Rica  -   Comedy"
"Costa Rica",96," Crime","Costa Rica  -   Crime"
"Costa Rica",18," Documentary","Costa Rica  -   Documentary"
"Costa Rica",322," Drama","Costa Rica  -   Drama"
"Costa Rica",20," Family","Costa Rica  -   Family"
"Costa Rica",33," Fantasy","Costa Rica  -   Fantasy"
"Costa Rica",2," Film Noir","Costa Rica  -   Film Noir"
"Costa Rica",1," Game Show","Costa Rica  -   Game Show"
"Costa Rica",27," Horror","Costa Rica  -   Horror"
"Costa Rica",34," Music","Costa Rica  -   Music"
"Costa Rica",1," Musical","Costa Rica  -   Musical"
"Costa Rica",37," Mystery","Costa Rica  -   Mystery"
"Costa Rica",4," Reality TV","Costa Rica  -   Reality TV"
"Costa Rica",129," Romance","Costa Rica  -   Romance"
"Costa Rica",16," Sci Fi","Costa Rica  -   Sci Fi"
"Costa Rica",13," Sport","Costa Rica  -   Sport"
"Costa Rica",7," Talk Show","Costa Rica  -   Talk Show"
"Costa Rica",63," Thriller","Costa Rica  -   Thriller"
"Costa Rica",2," War","Costa Rica  -   War"
"Costa Rica",3," Western","Costa Rica  -   Western"
"Croatia",172," Action","Croatia  -   Action"
"Croatia",116," Adventure","Croatia  -   Adventure"
"Croatia",48," Animation","Croatia  -   Animation"
"Croatia",8," Biography","Croatia  -   Biography"
"Croatia",198," Comedy","Croatia  -   Comedy"
"Croatia",127," Crime","Croatia  -   Crime"
"Croatia",27," Documentary","Croatia  -   Documentary"
"Croatia",289," Drama","Croatia  -   Drama"
"Croatia",25," Family","Croatia  -   Family"
"Croatia",32," Fantasy","Croatia  -   Fantasy"
"Croatia",3," Film Noir","Croatia  -   Film Noir"
"Croatia",11," Game Show","Croatia  -   Game Show"
"Croatia",6," History","Croatia  -   History"
"Croatia",24," Horror","Croatia  -   Horror"
"Croatia",3," Music","Croatia  -   Music"
"Croatia",44," Mystery","Croatia  -   Mystery"
"Croatia",19," Reality TV","Croatia  -   Reality TV"
"Croatia",94," Romance","Croatia  -   Romance"
"Croatia",17," Sci Fi","Croatia  -   Sci Fi"
"Croatia",17," Sport","Croatia  -   Sport"
"Croatia",13," Talk Show","Croatia  -   Talk Show"
"Croatia",60," Thriller","Croatia  -   Thriller"
"Croatia",4," War","Croatia  -   War"
"Croatia",10," Western","Croatia  -   Western"
"Cyprus",209," Action","Cyprus  -   Action"
"Cyprus",1," Adult","Cyprus  -   Adult"
"Cyprus",136," Adventure","Cyprus  -   Adventure"
"Cyprus",43," Animation","Cyprus  -   Animation"
"Cyprus",5," Biography","Cyprus  -   Biography"
"Cyprus",178," Comedy","Cyprus  -   Comedy"
"Cyprus",130," Crime","Cyprus  -   Crime"
"Cyprus",21," Documentary","Cyprus  -   Documentary"
"Cyprus",329," Drama","Cyprus  -   Drama"
"Cyprus",28," Family","Cyprus  -   Family"
"Cyprus",33," Fantasy","Cyprus  -   Fantasy"
"Cyprus",2," Film Noir","Cyprus  -   Film Noir"
"Cyprus",8," Game Show","Cyprus  -   Game Show"
"Cyprus",4," History","Cyprus  -   History"
"Cyprus",21," Horror","Cyprus  -   Horror"
"Cyprus",2," Music","Cyprus  -   Music"
"Cyprus",1," Musical","Cyprus  -   Musical"
"Cyprus",48," Mystery","Cyprus  -   Mystery"
"Cyprus",15," Reality TV","Cyprus  -   Reality TV"
"Cyprus",89," Romance","Cyprus  -   Romance"
"Cyprus",45," Sci Fi","Cyprus  -   Sci Fi"
"Cyprus",12," Sport","Cyprus  -   Sport"
"Cyprus",11," Talk Show","Cyprus  -   Talk Show"
"Cyprus",59," Thriller","Cyprus  -   Thriller"
"Cyprus",4," War","Cyprus  -   War"
"Cyprus",5," Western","Cyprus  -   Western"
"Czech Republic",200," Action","Czech Republic  -   Action"
"Czech Republic",156," Adventure","Czech Republic  -   Adventure"
"Czech Republic",78," Animation","Czech Republic  -   Animation"
"Czech Republic",12," Biography","Czech Republic  -   Biography"
"Czech Republic",191," Comedy","Czech Republic  -   Comedy"
"Czech Republic",131," Crime","Czech Republic  -   Crime"
"Czech Republic",26," Documentary","Czech Republic  -   Documentary"
