"id","n","label","parent"
"total -  Mystery  -  Taiwan",77,"Taiwan","total -  Mystery"
"total -  Romance  -  Taiwan",150,"Taiwan","total -  Romance"
"total -  Sci Fi  -  Taiwan",43,"Taiwan","total -  Sci Fi"
"total -  Thriller  -  Taiwan",74,"Taiwan","total -  Thriller"
"total -  Action  -  Thailand",227,"Thailand","total -  Action"
"total -  Adventure  -  Thailand",155,"Thailand","total -  Adventure"
"total -  Animation  -  Thailand",46,"Thailand","total -  Animation"
"total -  Comedy  -  Thailand",200,"Thailand","total -  Comedy"
"total -  Crime  -  Thailand",122,"Thailand","total -  Crime"
"total -  Drama  -  Thailand",291,"Thailand","total -  Drama"
"total -  Fantasy  -  Thailand",61,"Thailand","total -  Fantasy"
"total -  Mystery  -  Thailand",58,"Thailand","total -  Mystery"
"total -  Romance  -  Thailand",135,"Thailand","total -  Romance"
"total -  Sci Fi  -  Thailand",46,"Thailand","total -  Sci Fi"
"total -  Thriller  -  Thailand",84,"Thailand","total -  Thriller"
"total -  Action  -  Trinidad and Tobago",196,"Trinidad and Tobago","total -  Action"
"total -  Adventure  -  Trinidad and Tobago",118,"Trinidad and Tobago","total -  Adventure"
"total -  Animation  -  Trinidad and Tobago",54,"Trinidad and Tobago","total -  Animation"
"total -  Comedy  -  Trinidad and Tobago",166,"Trinidad and Tobago","total -  Comedy"
"total -  Crime  -  Trinidad and Tobago",140,"Trinidad and Tobago","total -  Crime"
"total -  Drama  -  Trinidad and Tobago",302,"Trinidad and Tobago","total -  Drama"
"total -  Fantasy  -  Trinidad and Tobago",46,"Trinidad and Tobago","total -  Fantasy"
"total -  Mystery  -  Trinidad and Tobago",40,"Trinidad and Tobago","total -  Mystery"
"total -  Romance  -  Trinidad and Tobago",87,"Trinidad and Tobago","total -  Romance"
"total -  Thriller  -  Trinidad and Tobago",85,"Trinidad and Tobago","total -  Thriller"
"total -  Action  -  Turkey",213,"Turkey","total -  Action"
"total -  Adventure  -  Turkey",114,"Turkey","total -  Adventure"
"total -  Comedy  -  Turkey",143,"Turkey","total -  Comedy"
"total -  Crime  -  Turkey",152,"Turkey","total -  Crime"
"total -  Drama  -  Turkey",344,"Turkey","total -  Drama"
"total -  Fantasy  -  Turkey",67,"Turkey","total -  Fantasy"
"total -  Horror  -  Turkey",46,"Turkey","total -  Horror"
"total -  Mystery  -  Turkey",53,"Turkey","total -  Mystery"
"total -  Romance  -  Turkey",77,"Turkey","total -  Romance"
"total -  Thriller  -  Turkey",78,"Turkey","total -  Thriller"
"total -  Action  -  Ukraine",217,"Ukraine","total -  Action"
"total -  Adventure  -  Ukraine",140,"Ukraine","total -  Adventure"
"total -  Animation  -  Ukraine",58,"Ukraine","total -  Animation"
"total -  Comedy  -  Ukraine",184,"Ukraine","total -  Comedy"
"total -  Crime  -  Ukraine",165,"Ukraine","total -  Crime"
"total -  Drama  -  Ukraine",315,"Ukraine","total -  Drama"
"total -  Fantasy  -  Ukraine",36,"Ukraine","total -  Fantasy"
"total -  Mystery  -  Ukraine",44,"Ukraine","total -  Mystery"
"total -  Romance  -  Ukraine",67,"Ukraine","total -  Romance"
"total -  Thriller  -  Ukraine",64,"Ukraine","total -  Thriller"
"total -  Action  -  United Arab Emirates",211,"United Arab Emirates","total -  Action"
"total -  Adventure  -  United Arab Emirates",124,"United Arab Emirates","total -  Adventure"
"total -  Comedy  -  United Arab Emirates",160,"United Arab Emirates","total -  Comedy"
"total -  Crime  -  United Arab Emirates",140,"United Arab Emirates","total -  Crime"
"total -  Drama  -  United Arab Emirates",340,"United Arab Emirates","total -  Drama"
"total -  Fantasy  -  United Arab Emirates",52,"United Arab Emirates","total -  Fantasy"
"total -  Horror  -  United Arab Emirates",31,"United Arab Emirates","total -  Horror"
"total -  Mystery  -  United Arab Emirates",45,"United Arab Emirates","total -  Mystery"
"total -  Romance  -  United Arab Emirates",111,"United Arab Emirates","total -  Romance"
"total -  Thriller  -  United Arab Emirates",74,"United Arab Emirates","total -  Thriller"
"total -  Action  -  United Kingdom",184,"United Kingdom","total -  Action"
"total -  Adventure  -  United Kingdom",148,"United Kingdom","total -  Adventure"
"total -  Animation  -  United Kingdom",57,"United Kingdom","total -  Animation"
"total -  Comedy  -  United Kingdom",207,"United Kingdom","total -  Comedy"
"total -  Crime  -  United Kingdom",116,"United Kingdom","total -  Crime"
"total -  Drama  -  United Kingdom",261,"United Kingdom","total -  Drama"
"total -  Fantasy  -  United Kingdom",43,"United Kingdom","total -  Fantasy"
"total -  Mystery  -  United Kingdom",36,"United Kingdom","total -  Mystery"
"total -  Romance  -  United Kingdom",90,"United Kingdom","total -  Romance"
"total -  Thriller  -  United Kingdom",64,"United Kingdom","total -  Thriller"
"total -  Action  -  United States",155,"United States","total -  Action"
"total -  Adventure  -  United States",102,"United States","total -  Adventure"
"total -  Animation  -  United States",39,"United States","total -  Animation"
"total -  Comedy  -  United States",163,"United States","total -  Comedy"
"total -  Crime  -  United States",103,"United States","total -  Crime"
"total -  Drama  -  United States",278,"United States","total -  Drama"
"total -  Horror  -  United States",34,"United States","total -  Horror"
"total -  Mystery  -  United States",57,"United States","total -  Mystery"
"total -  Romance  -  United States",71,"United States","total -  Romance"
"total -  Thriller  -  United States",47,"United States","total -  Thriller"
"total -  Action  -  Uruguay",142,"Uruguay","total -  Action"
"total -  Adventure  -  Uruguay",107,"Uruguay","total -  Adventure"
"total -  Animation  -  Uruguay",46,"Uruguay","total -  Animation"
"total -  Comedy  -  Uruguay",162,"Uruguay","total -  Comedy"
"total -  Crime  -  Uruguay",147,"Uruguay","total -  Crime"
"total -  Drama  -  Uruguay",374,"Uruguay","total -  Drama"
"total -  Music  -  Uruguay",37,"Uruguay","total -  Music"
"total -  Mystery  -  Uruguay",53,"Uruguay","total -  Mystery"
"total -  Romance  -  Uruguay",82,"Uruguay","total -  Romance"
"total -  Thriller  -  Uruguay",75,"Uruguay","total -  Thriller"
"total -  Action  -  Venezuela",139,"Venezuela","total -  Action"
"total -  Adventure  -  Venezuela",81,"Venezuela","total -  Adventure"
"total -  Animation  -  Venezuela",35,"Venezuela","total -  Animation"
"total -  Comedy  -  Venezuela",176,"Venezuela","total -  Comedy"
"total -  Crime  -  Venezuela",118,"Venezuela","total -  Crime"
"total -  Drama  -  Venezuela",325,"Venezuela","total -  Drama"
"total -  Music  -  Venezuela",31,"Venezuela","total -  Music"
"total -  Mystery  -  Venezuela",38,"Venezuela","total -  Mystery"
"total -  Romance  -  Venezuela",116,"Venezuela","total -  Romance"
"total -  Thriller  -  Venezuela",72,"Venezuela","total -  Thriller"
"total -  Action  -  Vietnam",264,"Vietnam","total -  Action"
"total -  Adventure  -  Vietnam",133,"Vietnam","total -  Adventure"
"total -  Comedy  -  Vietnam",233,"Vietnam","total -  Comedy"
"total -  Crime  -  Vietnam",136,"Vietnam","total -  Crime"
"total -  Drama  -  Vietnam",353,"Vietnam","total -  Drama"
"total -  Fantasy  -  Vietnam",65,"Vietnam","total -  Fantasy"
"total -  Mystery  -  Vietnam",62,"Vietnam","total -  Mystery"
"total -  Romance  -  Vietnam",123,"Vietnam","total -  Romance"
"total -  Sci Fi  -  Vietnam",48,"Vietnam","total -  Sci Fi"
"total -  Thriller  -  Vietnam",89,"Vietnam","total -  Thriller"
