"id","n","label","parent"
"total -  Thriller  -  Croatia",60,"Croatia","total -  Thriller"
"total -  Action  -  Cyprus",209,"Cyprus","total -  Action"
"total -  Adventure  -  Cyprus",136,"Cyprus","total -  Adventure"
"total -  Animation  -  Cyprus",43,"Cyprus","total -  Animation"
"total -  Comedy  -  Cyprus",178,"Cyprus","total -  Comedy"
"total -  Crime  -  Cyprus",130,"Cyprus","total -  Crime"
"total -  Drama  -  Cyprus",329,"Cyprus","total -  Drama"
"total -  Mystery  -  Cyprus",48,"Cyprus","total -  Mystery"
"total -  Romance  -  Cyprus",89,"Cyprus","total -  Romance"
"total -  Sci Fi  -  Cyprus",45,"Cyprus","total -  Sci Fi"
"total -  Thriller  -  Cyprus",59,"Cyprus","total -  Thriller"
"total -  Action  -  Czech Republic",200,"Czech Republic","total -  Action"
"total -  Adventure  -  Czech Republic",156,"Czech Republic","total -  Adventure"
"total -  Animation  -  Czech Republic",78,"Czech Republic","total -  Animation"
"total -  Comedy  -  Czech Republic",191,"Czech Republic","total -  Comedy"
"total -  Crime  -  Czech Republic",131,"Czech Republic","total -  Crime"
"total -  Drama  -  Czech Republic",287,"Czech Republic","total -  Drama"
"total -  Fantasy  -  Czech Republic",53,"Czech Republic","total -  Fantasy"
"total -  Mystery  -  Czech Republic",52,"Czech Republic","total -  Mystery"
"total -  Romance  -  Czech Republic",75,"Czech Republic","total -  Romance"
"total -  Thriller  -  Czech Republic",44,"Czech Republic","total -  Thriller"
"total -  Action  -  Denmark",192,"Denmark","total -  Action"
"total -  Adventure  -  Denmark",132,"Denmark","total -  Adventure"
"total -  Animation  -  Denmark",53,"Denmark","total -  Animation"
"total -  Comedy  -  Denmark",178,"Denmark","total -  Comedy"
"total -  Crime  -  Denmark",146,"Denmark","total -  Crime"
"total -  Drama  -  Denmark",313,"Denmark","total -  Drama"
"total -  Fantasy  -  Denmark",45,"Denmark","total -  Fantasy"
"total -  Mystery  -  Denmark",50,"Denmark","total -  Mystery"
"total -  Romance  -  Denmark",89,"Denmark","total -  Romance"
"total -  Thriller  -  Denmark",57,"Denmark","total -  Thriller"
"total -  Action  -  Dominican Republic",177,"Dominican Republic","total -  Action"
"total -  Adventure  -  Dominican Republic",111,"Dominican Republic","total -  Adventure"
"total -  Animation  -  Dominican Republic",49,"Dominican Republic","total -  Animation"
"total -  Comedy  -  Dominican Republic",155,"Dominican Republic","total -  Comedy"
"total -  Crime  -  Dominican Republic",124,"Dominican Republic","total -  Crime"
"total -  Drama  -  Dominican Republic",283,"Dominican Republic","total -  Drama"
"total -  Fantasy  -  Dominican Republic",42,"Dominican Republic","total -  Fantasy"
"total -  Mystery  -  Dominican Republic",39,"Dominican Republic","total -  Mystery"
"total -  Romance  -  Dominican Republic",80,"Dominican Republic","total -  Romance"
"total -  Thriller  -  Dominican Republic",70,"Dominican Republic","total -  Thriller"
